Player,Team,Credits,Total Points
Musheer Khan,PBKS,7.5,0
Mitchell Owen,PBKS,7.5,0
Nuwan Thushara,RCB,7.5,0
Swapnil Singh,RCB,7.5,0
Nathan Ellis,CSK,7.5,0
Akash Deep,KKR,7.5,0
Umran Malik,KKR,7.5,0
Shivam Mavi,SRH,7.5,0
Mangesh Yadav,RCB,7.5,0
Prithvi Shaw,DC,7.5,0
Rehan Ahmed,DC,7,0
Connor Esterhuizen,GT,7,0
Prithvi Raj Yarra,GT,7,0
Vishal Nishad,PBKS,7,0
Naman Tiwari,LSG,7,0
Gurnoor Brar,GT,7,0
Jayant Yadav,GT,7,0
Luke Wood,GT,7,0
Sushant Mishra,RR,7,0
Adam Milne,RR,7,0
Kwena Maphaka,RR,7,0
Kulwant Khejroliya,GT,7,0
Praveen Dubey,PBKS,7,0
Saurabh Dubey,KKR,7,0
Onkar Tarmale,SRH,7,0
Ramakrishna Ghosh,CSK,7,0
Mohammad Izhar,MI,7,0
Amit Kumar,SRH,7,0
Spencer Johnson,CSK,7,0
Prashant Solanki,KKR,7,0
Vicky Ostwal,RCB,7,0
Raghu Sharma,MI,7,0
Arjun Tendulkar,LSG,7,0
Sahil Parakh,DC,7,0
Aman Perala,RR,7,0
Tom Banton,GT,7,0
Harnoor Singh,PBKS,7,0
Ben Duckett,DC,7,0
Ravi Singh,RR,7,0
Pyla Avinash,PBKS,7,0
Vishnu Vinod,PBKS,7,0
Matthew Breetzke,LSG,7,0
Robin Minz,MI,7,0
Anuj Rawat,GT,7,0
Tejasvi Singh,KKR,7,0
Yash Thakur,PBKS,7,0
Brydon Carse,SRH,7,0
Jordan Cox,RCB,7,0
Akshat Raghuwanshi,LSG,7,0
Zeeshan Ansari,SRH,7,0
Ravichandran Smaran,SRH,7,0
